Description,Category,Sub-Category,Title,Link,IconURL,Icon,FilePath
,Data,,Data,,,fas fa-database,resources/data/_index.md
,Data,,Google BigQuery,,https://upload.wikimedia.org/wikipedia/commons/8/89/Google-BigQuery-Logo.svg,,resources/data/google-bigquery/_index.md
,DevOps,,DevOps,,,fas fa-cogs,resources/devops/_index.md
,"Environmental, Sustainability and Governance",,"Environmental, Sustainability and Governance",,,fas fa-leaf,resources/environment-sustainability-and-governance/_index.md
,Finance,,Finance,,,fas fa-dollar-sign,resources/finance/_index.md
,Finance,Finance Reading,Finance Reading,,,fas fa-file-invoice-dollar,resources/finance/finance-reading/_index.md
,Future of Work and Learning,,Future of Work and Learning,,,fas fa-user-graduate,resources/future-of-work-and-learning/_index.md
,Health,,Health,,,fas fa-heart,resources/health/_index.md
,Marketing,,Marketing,,,fas fa-search-dollar,resources/marketing/_index.md
,Personal Development,,Personal Development,,,fas fa-seedling,resources/personal-development/_index.md
,SaaS,,Software as a Service,,,fas fa-desktop,resources/saas/_index.md
,Security,,Security,,,fas fa-user-shield,resources/security/_index.md
