Description,Category,Sub-Category,Title,Link,IconURL,Icon,FilePath
Learn all things data from Google,Data,,Query the Wikipedia dataset in BigQuery,https://codelabs.developers.google.com/codelabs/cloud-bigquery-wikipedia/index.html?index=..%2F..index#0,https://www.gstatic.com/devrel-devsite/prod/vafbb0b5d787a2bc7a3bcbfb9dfdb3baefdd01831979d5302dd65271466576cda/cloud/images/cloud-logo.svg?dcb_=0.06609720061385493,,resources/data/google-bigquery/wikipedia.md
Learn about the worlds #1 CRM,SaaS,,Salesforce,https://trailhead.salesforce.com/en/home,https://trailhead.salesforce.com/assets/trailhead-logo-86df2c10154e03fb8b18110597a115ecce58d8bb2887e33a155ae8784cca5784.svg,,resources/saas/salesforce.md
Learn about the world's leading provider of enterprise open source solutions,Cloud,,Redhat,https://learn.openshift.com/,,fab fa-redhat,resources/cloud/redhat.md
Learn about the monitoring software produced by Dynatrace,DevOps,,Dynatrace,https://university.dynatrace.com/,https://dt-cdn.net/images/apple-touch-icon-144x144-144-4cf0d2af93.png,,resources/devops/dynatrace.md
Learn about the importance of data from Melbourne University,Data,,Data for Decision Makers,https://anz.mbs.edu/,https://anz.mbs.edu/assets/images/mbs_logo.jpg,,resources/data/data-for-decision-makers.md
Learn about Microsofts cloud platform,Cloud,,Azure,https://docs.microsoft.com/en-us/learn/azure/,,fab fa-microsoft,resources/cloud/azure.md
KPMG's take on the fourth industrial revolution,Future of Work and Learning,,KPMG,https://home.kpmg/au/en/home/insights/2020/02/2020-fourth-industrial-revolution-benchmark.html,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/KPMG_logo.svg/1920px-KPMG_logo.svg.png,,resources/future-of-work-and-learning/KPMG.md
Keep your kids active with the help of some super hero pals,Health,,Star Wars and Avengers Fitness,https://www.youtube.com/user/Glennhigginsfitness,http://www.glennhigginsfitness.com/uploads/2/2/4/0/22407254/gh-no-back-copy.png,,resources/health/star-wars-fitness.md
Keep your kids active with some basic yoga,Health,,Cosmic Kids Yoga,https://www.youtube.com/user/CosmicKidsYoga,https://www.cosmickids.com/wp-content/themes/cosmic-kids/images/favicon-152.png,,resources/health/cosmic-kids.md
Integration basics from our pals at Mulesoft,SaaS,,Mulesoft,https://www.cybrary.it/,https://pbs.twimg.com/media/EUe9vFTWkAATP-L.jpg,,resources/saas/mulesoft.md
Infographics to better describe some interesting datasets,Finance,Finance Reading,Our World in Data,https://ourworldindata.org/,,fas fa-globe-asia,resources/finance/finance-reading/our-world-in-data.md
Google cloudbuild - how it works and how to use it,DevOps,,Cloudbuild,https://cloud.google.com/cloud-build/docs/quickstarts,https://www.gstatic.com/devrel-devsite/prod/vafbb0b5d787a2bc7a3bcbfb9dfdb3baefdd01831979d5302dd65271466576cda/cloud/images/cloud-logo.svg?dcb_=0.06609720061385493,,resources/devops/cloudbuild.md
Free courses on literally everything and anything,Personal Development,,The Open University,https://www.open.edu/openlearn/,https://www.open.edu/openlearn/sites/all/themes/openlearnng/static/images/share_default.png,,resources/personal-development/the-open-university.md
Free and paid access to courses ,Personal Development,,Coursera,https://www.coursera.org/courses?query=free,https://d3njjcbhbojbot.cloudfront.net/web/images/favicons/android-chrome-192x192.png,,resources/personal-development/coursera.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,Clean Energy Finance Forum,https://cleanenergyfinanceforum.com/,https://www.cleanenergyfinanceforum.com/themes/custom/forum_base/assets/images/produced-by/CBEY-Logo-long.png,,resources/environment-sustainability-and-governance/clean-energy-finance.md
Free access to various sites detailing various pieces of work related to ESG,"Environmental, Sustainability and Governance",,Climate Change in Australia,https://www.climatechangeinaustralia.gov.au/en/,https://www.climatechangeinaustralia.gov.au/static/ccia/2.1.6/NRM/images/logo/LOGO-CCIA.png,,resources/environment-sustainability-and-governance/climate-change-aus.md
